scope,category_th,category_en,sub_category,resource,unit,ef_value,id,ref_source
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Motor Gasoline 2-stroke:  Industry, L",Liter,2.29948808,04fc4e80-2d90-4246-814e-ebd916ab8e0c,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Motor Gasoline 2-stroke: Aggriculture, L",Liter,2.30830248,8ade9cab-9a00-46cb-ba4f-882c51a00d5f,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Motor Gasoline 4-stroke:  Forestry, L",Liter,2.181564,7d6ff6ee-e45c-4c2d-9378-6311a3a5ac46,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Motor Gasoline 4-stroke:  Household, L",Liter,2.3040212,b39dc866-2bba-47ff-9d85-190e4795b392,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Motor Gasoline 4-stroke:  Industry, L",Liter,2.2423204,e314f19f-a908-401e-8eed-ed4414a71092,
1,2.1) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (Off road),2.1) Mobile combustion (Off road),,"Motor Gasoline 4-stroke: Aggriculture, L",Liter,2.2687636,64d5d4a1-b7e0-4825-8e50-fcaa09827f54,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Biodiesel: L,Liter,1.670509494,9224b573-2552-4c2b-8467-6c84a1a9bc64,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,CNG: kg,kg,2.2539509,9be45b24-f935-460b-9007-6b3d7ad7bcbb,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Diesel (20),Liter,2.197578006,1da2b6e8-0bd9-4ead-b4c6-b8cd29bb6501,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Diesel (B7),Liter,2.550372739,9a458d84-0207-42da-9529-97ea9c010914,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Diesel: L,Liter,2.740339134,a73187a5-57c1-4e00-a83b-55f861367e64,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Ethanol (Biogasoline),Liter,1.507437864,7711b3f6-90ed-43ed-93f7-4292a859954a,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Gasohol: E10,Liter,2.010283117,79bbef59-4795-4cac-95b6-3347b635f5b2,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Gasohol: E20,Liter,1.788102222,05313487-6c16-4e37-8c23-2bf8b34083d8,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Gasohol: E85,Liter,0.3439264062,1c99f627-171b-4042-b9b0-2666ccbb7c8e,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,LPG: kg,kg,3.19878737,b58575f8-6d4a-4bc7-9489-8c7db54c9c0d,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,LPG: litre,Liter,1.72734518,ad6db599-91ac-4c9a-b8ef-34d46ce005a6,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Motor Gasoline - low mileage light duty vihicle vintage 1995 or later: L,Liter,2.232464012,d3c2c6b0-2a59-41a6-90f0-d5b05032e5ea,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Motor Gasoline - oxydation catalyst: L,Liter,2.2703376,b030cb6a-d1f7-4396-9b74-fe4bd4ee6722,
1,2.2) การเผาไหม้ที่มีการเคลื่อนที่ (Mobile combustion) (On road),2.2) Mobile combustion (On road),,Motor Gasoline - uncontrolled: L,Liter,2.23734656,f9f20442-3a38-4051-b1c4-23b8e662726e,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,Aerobic treatment plant Not well managed,kgCO2,2.1,2f82bf5f-53a7-4fe0-8e52-c6cdb454f685,
1,4) การรั่วไหล และอื่น ๆ (Fugitive emissions),4) Fugitive emissions,,Aerobic treatment plant well managed,kgCO2,0,634d3993-5f46-4a4f-8bdb-e4b5e8d76599,
